ID,英文名稱,中文名稱,圖片,備註,更新日期
3635272,highest common factor,最高公因式,,,2018-12-17
3635273,histogram,直方圖,,,2018-12-17
3635274,horizontal asymptote,水平漸近線,,,2018-12-17
3635275,horizontal line,水平線,,,2018-12-17
3635276,hyperbola,雙曲線,,,2018-12-17
3635277,hypotenuse,斜邊,,,2018-12-17
3635278,identity matrix,單位方陣；單位矩陣,,,2018-12-17
3635279,image,像點；像；鏡像,,,2018-12-17
3635280,imaginary circle,虛圓,,,2018-12-17
3635281,imaginary number,虛數,,,2018-12-17
3635282,imaginary part,虛部,,,2018-12-17
3635283,imaginary root,虛根,,,2018-12-17
3635284,imaginary unit,虛數單位,,,2018-12-17
3635285,impossible event,不可能事件,,,2018-12-17
3635286,incenter,內心,,,2018-12-17
3635287,inclination,傾角；斜角,,,2018-12-17
3635288,inclusion-exclusion principle,取捨原理；排容原理,,,2018-12-17
3635289,inconsistent system of equations,矛盾方程組,,,2018-12-17
3635290,increasing,遞增,,,2018-12-17
3635291,increasing function,遞增函數,,,2018-12-17
3635292,independent,獨立,,,2018-12-17
3635293,independent events,獨立事件,,,2018-12-17
3635294,independent variable,自變量；自變數,,,2018-12-17
3635295,indeterminate,不確定；未定元,,,2018-12-17
3635296,indirect proof,間接證明,,,2018-12-17
3635297,inequality,不等式,,,2018-12-17
3635298,inferential statistics,推論統計,,,2018-12-17
3635299,infinite sequence,無窮序列；無窮數列,,,2018-12-17
3635300,infinite series,無窮級數,,,2018-12-17
3635301,infinite set,無限集,,,2018-12-17
3635302,infinity,無窮；無限大,,,2018-12-17
3635303,inflection point,反曲點；拐點,,,2018-12-17
3635304,initial point,[起]始點,,,2018-12-17
3635305,initial side of angle,角的始邊,,,2018-12-17
3635306,inner division point,內分點,,,2018-12-17
3635307,inner product,內積,,,2018-12-17
3635308,inner product formula,內積公式,,,2018-12-17
3635309,inradius,內切圓半徑,,,2018-12-17
3635310,instantaneous rate of change,瞬時變化率,,,2018-12-17
3635311,instantaneous velocity,瞬時速度,,,2018-12-17
3635312,integer,整數,,,2018-12-17
3635313,integral sign,積分符號,,,2018-12-17
3635314,integrand,被積分函數；被積分式,,,2018-12-17
3635315,intercept,截距,,,2018-12-17
3635316,intercept form,截距式,,,2018-12-17
3635317,interest rate,利率,,,2018-12-17
3635318,interior,內部,,,2018-12-17
3635319,interior angle,內角,,,2018-12-17
3635320,intermediate value theorem,中間值定理,,,2018-12-17
3635321,internal point of division,內分點,,,2018-12-17
3635322,interpolation,插值[法]；內插[法],,,2018-12-17
3635323,interpolation polynomial,插值多項式,,,2018-12-17
3635324,interquartile range,四分位[數間]距,,,2018-12-17
3635325,intersection,相交；交集,,,2018-12-17
3635326,interval,區間,,,2018-12-17
3635327,inverse function,反函數,,,2018-12-17
3635328,inverse matrix,逆方陣；反矩陣,,,2018-12-17
3635329,inverse vector,反向量；逆向量,,,2018-12-17
3635330,irrational number,無理數,,,2018-12-17
3635331,irreducible fraction,不可約分數；既約分數；最簡分數；最簡分式,,,2018-12-17
3635332,kilogram,公斤,,,2018-12-17
3635333,Lagrange interpolation formula,Lagrange插值公式,,,2018-12-17
