ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462164,angiotensinogen,血管收縮素原,,,2019-10-31
5462165,animal cell,動物細胞,,,2019-10-31
5462166,animal virus,動物病毒,,,2019-10-31
5462167,Animalia,動物界,,,2019-10-31
5462168,annelid,環節動物,,,2019-10-31
5462169,Annelida,環節動物門,,,2019-10-31
5462170,antagonistic muscle,拮抗肌,,,2019-10-31
5462171,antenna pigment,天線色素 {光合作用},,,2019-10-31
5462172,antennal gland,觸角腺,,,2019-10-31
5462173,anterior chamber,眼前房,,,2019-10-31
5462174,anterior horn,前角,,,2019-10-31
5462175,anterior pituitary {adenohypophysis},腦垂腺前葉,,,2019-10-31
5462176,anther,花葯,,,2019-10-31
5462177,antheridia {sing. antheridium},藏精器,,,2019-10-31
5462178,antheridium {pl. antheridia},藏精器,,,2019-10-31
5462179,anthocarpous fruit {accessory fruit; pseudocarp},副果；假果,,,2019-10-31
5462180,anthocyanin,花青素,,,2019-10-31
5462181,anthropoid,類人猿,,,2019-10-31
5462182,Anthropoidea,類人猿亞目,,,2019-10-31
5462183,antibiotic,抗生素,,,2019-10-31
5462184,antibiotic resistance gene,抗生素抗性基因,,,2019-10-31
5462185,antibody,抗體,,,2019-10-31
5462186,antibody-mediated immunity,抗體媒介[式]免疫,,,2019-10-31
5462187,anticodon,反密碼子；互補密碼子,,,2019-10-31
5462188,antidiuretic hormone {=ADH; vasopressin},抗利尿素；血管加壓素,,,2019-10-31
5462189,antigen,抗原,,,2019-10-31
5462190,antigen presenting cell {=APC},抗原呈現細胞,,,2019-10-31
5462191,antigen receptor,抗原受體,,,2019-10-31
5462192,antiparallel,反向平行[的],,,2019-10-31
5462193,antipodal cell {antipode},反足細胞,,,2019-10-31
5462194,antiseptic,防腐劑,,,2019-10-31
5462195,anxiety disorder,焦慮症,,,2019-10-31
5462196,aorta,主動脈,,,2019-10-31
5462197,aortic obstruction,主動脈阻塞,,,2019-10-31
5462198,ape,人猿,,,2019-10-31
5462199,apical bud,頂芽,,,2019-10-31
5462200,apical dominance,頂芽優勢,,,2019-10-31
5462201,apical meristem,頂端分生組織,,,2019-10-31
5462202,apomorphy,衍徵,,,2019-10-31
5462203,apoplast,質外體,,,2019-10-31
5462204,apoplastic transport,質外[體]運輸；非原生質體運輸,,,2019-10-31
5462205,apoptosis,細胞凋亡,,,2019-10-31
5462206,appendage,附肢；附加物,,,2019-10-31
5462207,appendicular skeleton,附肢骨骼,,,2019-10-31
5462208,appendix,闌尾,,,2019-10-31
5462209,AQP {aquaporin},水孔蛋白,,,2019-10-31
5462210,aquaporin {=AQP},水孔蛋白,,,2019-10-31
5462211,aqueous humor,水樣液,,,2019-10-31
5462212,arabinose,阿拉伯糖,,,2019-10-31
5462213,arachnid,蛛形類,,,2019-10-31
5462214,Arachnida,蛛形綱,,,2019-10-31
5462215,arachnoid mater,蛛網膜,,,2019-10-31
5462216,arbor {woody plant},喬木,,,2019-10-31
5462217,archaea,古菌,,,2019-10-31
5462218,archaebacteria,古細菌 {archaea的舊名},,,2019-10-31
5462219,Archaeopteryx,始祖鳥[屬],,,2019-10-31
5462220,archegonia {sing. archegonium},藏卵器,,,2019-10-31
5462221,archegonium {pl. archegonia},藏卵器,,,2019-10-31
5462222,archenteron,原腸,,,2019-10-31
5462223,Archeozoic era,古生代,,,2019-10-31
5462224,arcuate nucleus,弓狀核,,,2019-10-31
5462225,arginine,精胺酸,,,2019-10-31
5462226,argyrophil cell,嗜銀細胞,,,2019-10-31
5462227,arrector pilorum,豎毛肌,,,2019-10-31
5462228,arrhythmia,心律不整,,,2019-10-31
5462229,arteriole,小動脈,,,2019-10-31
5462230,arteriosclerosis,動脈硬化,,,2019-10-31
5462231,artery,動脈,,,2019-10-31
5462232,arthropod,節肢動物,,,2019-10-31
5462233,Arthropoda,節肢動物門,,,2019-10-31
5462234,artificial selection,人擇,,,2019-10-31
5462235,ascomycete,子囊菌,,,2019-10-31
5462236,Ascomycota,子囊菌門,,,2019-10-31
