ID,英文名稱,中文名稱,圖片,備註,更新日期
3630775,dimethylamine,二甲胺,,,2018-12-17
3630776,dioxins,戴奧辛[類],,20210126修訂,2021-01-26
3630777,diphenyl ether,二苯基醚,,,2018-12-17
3630778,dipole-dipole force,偶極-偶極力,,,2018-12-17
3630779,diprotic acid,二質子酸,,,2018-12-17
3630780,direct ethanol fuel cell,直接乙醇燃料電池,,,2018-12-17
3630781,direct method,直接法,,,2018-12-17
3630782,disaccharide,雙醣,,,2018-12-17
3630783,disinfection,消毒,,,2018-12-17
3630784,dispersed substance,分散質,,,2018-12-17
3630785,dispersing medium,分散介質,,,2018-12-17
3630786,dispersion force,分散力,,,2018-12-17
3630787,disproportionation,歧化[作用]；自身氧化還原,,20220314修訂,2022-07-15
3630788,dissociation energy,解離能,,,2018-12-17
3630789,dissolution,溶解,,,2018-12-17
3630790,distillation,蒸餾,,,2018-12-17
3630791,disulfide bond,雙硫鍵,,,2018-12-17
3630792,disulfide compound,二硫化物,,,2018-12-17
3630793,divinylbenzene,二乙烯苯,,,2018-12-17
3630794,Döbereiner,徳貝萊納,,,2018-12-17
3630795,dopamine,多巴胺,,,2018-12-17
3630796,doping,摻雜,,,2018-12-17
3630797,dose,劑量,,,2018-12-17
3630798,double bond,雙鍵,,,2018-12-17
3630799,Downs cell,當氏電解槽,,,2018-12-17
3630800,Downs process,當氏法,,,2018-12-17
3630801,dropper,滴管,,,2018-12-17
3630802,drug,藥物,,,2018-12-17
3630803,dry cell,乾電池,,,2018-12-17
3630804,dry distillation,乾餾,,,2018-12-17
3630805,ductility,延性,,,2018-12-17
3630806,dyestuff,染料,,,2018-12-17
3630807,effective collision,有效碰撞,,,2018-12-17
3630808,effusion,逸散,,,2018-12-17
3630809,Einstein,愛因斯坦,,,2018-12-17
3630810,electric potential,電位,,,2018-12-17
3630811,electrochemical cell,電化電池,,,2018-12-17
3630812,electrode,電極,,,2018-12-17
3630813,electrodeposition process,電沈積過程,,,2018-12-17
3630814,electroless plating,無電電鍍,,,2018-12-17
3630815,electrolysis,電解,,,2018-12-17
3630816,electrolyte,電解質,,,2018-12-17
3630817,electrolytic cell,電解槽,,,2018-12-17
3630818,electrolytic process,電解法,,,2018-12-17
3630819,electromagnetic rotation,電磁轉動,,,2018-12-17
3630820,electromagnetic wave,電磁波,,,2018-12-17
3630821,electromotive force,電動勢,,,2018-12-17
3630822,electron,電子,,,2018-12-17
3630823,electron affinity,電子親和力,,,2018-12-17
3630824,electron cloud,電子雲,,,2018-12-17
3630825,electron configuration,電子組態,,,2018-12-17
3630826,electron dot structure,電子點[結構]式,,,2018-12-17
3630827,electron dot symbol,電子點符號,,,2018-12-17
3630828,electron sea,電子海,,,2018-12-17
3630829,electron shell,電子殼層,,,2018-12-17
3630830,electron spin resonance {= ESR},電子自旋共振,,,2018-12-17
3630831,electronegativity,電負度,,,2018-12-17
3630832,electrophoresis,電泳,,,2018-12-17
3630833,electrophoresis chip,電泳晶片,,,2018-12-17
3630834,electroplating,電鍍,,,2018-12-17
3630835,electroplating cell,電鍍槽,,,2018-12-17
3630836,electropolishing,電拋光,,,2018-12-17
3630837,electrorefining,電解精煉,,,2018-12-17
3630838,element,元素,,,2018-12-17
3630839,elementary analysis,元素分析,,,2018-12-17
3630840,elemental analysis,元素分析,,,2018-12-17
3630841,elimination reaction,脫去反應,,,2018-12-17
3630842,emissive layer,發光層；發射層,,,2018-12-17
3630843,Empedocles,恩培多克勒,,,2018-12-17
3630844,empirical formula,實驗式,,,2018-12-17
3630845,emulsion,乳液,,,2018-12-17
3630846,end point,終點,,,2018-12-17
3630847,endocrine disruption chemicals,內分泌干擾物,,,2018-12-17
3630848,endothermic reaction,吸熱反應,,,2018-12-17
3630849,energy efficiency ratio,能量效率比值,,,2018-12-17
3630850,energy level,能階,,,2018-12-17
3630851,enol,烯醇,,,2018-12-17
3630852,enrichment factor,增濃因數,,,2018-12-17
3630853,enthalpy,焓；熱含量,,,2018-12-17
3630854,environmental hormone,環境荷爾蒙,,,2018-12-17
3630855,enzyme,酶；酵素,,,2018-12-17
3630856,enzyme-substrate complex,酶-受質複合物,,,2018-12-17
3630857,epoxy resin,環氧樹脂,,,2018-12-17
3630858,equilibrium constant,平衡常數,,,2018-12-17
3630859,equilibrium constant expression,平衡常數表示式,,,2018-12-17
3630860,equilibrium state,平衡狀態,,,2018-12-17
3630861,equivalent point,當量點,,,2018-12-17
